Row Key,Rank,Live Cover Pic,Live Name,Profile Name,Best Seller IDs,Best Sellers,Best Seller Prices,Best Seller Images,Time Frame,Duration,Revenue,Views,GPM
'7495904890762382122,1,live_1_image_content_1.png,WELCOME TO POPMART,@popmart.usshop,"['1729542997783449608', '1730548745653948424', '1729938571950985224']","THE MONSTERS - Have a Seat Vinyl Plush Blind Box, Mystery Box, THE MONSTERS COCA-COLA SERIES-Vinyl Face Blind Box, CRYBABY Crying Again Series-Vinyl Face Plush Blind Box, Mystery Box","$21.99, $39.99 - $239.94, $27.99 - $167.94","live_product_1_image_1.png, live_product_1_image_2.png, live_product_1_image_3.png",04/21 19:00 ~ 23:58,Duration: 4h 57m,$46.13k,457.17k,$100.91
'7495749339101498158,2,live_2_image_content_2.png,"Shapellx ""Super Brand Day""!!",@shapellxcrew,"['1730586236661895235', '1730362285233246275', '1729989006154829891']","AirSlim Lace Steel Boned Butt Enhancer Shapewear Live, Shapellx AirSlim Boned Sculpt High Waist Shorts  Womenswear Underwear Highwaist Shapewear Girdle Undergarment  Live, Shapellx AirSlim Sculpt High Waist Shorts Womenswear Shapewear Underwear Live","$57.99, $68.60, $64.00 - $68.60","live_product_2_image_4.png, live_product_2_image_5.png, live_product_2_image_6.png",04/21 09:00 ~ 23:56,Duration: 14h 56m,$43.04k,98.67k,$436.16
'7495814404823419691,3,live_3_image_content_3.png,"Shapellx ""Super Brand Day""!!",@shapellxofficial,"['1729534696881558144', '1729579556672148096', '1729596073113195136']","Shapellx AirSlim Lace Smooth Firm Control Full Body Shapewear Womenswear Sales, Shapellx AirSlim Smooth Tummy Control Butt-Lifting T-Back Hand Wash Shorts Shapewear Womenswear Sales, Shapellx AirSlim ElasticFuse Waistband Shaping Leggings Womenswear Sales","$53.99, $33.00, $39.99 - $83.59","live_product_3_image_7.png, live_product_3_image_8.png, live_product_3_image_9.png",04/21 13:10 ~ 23:57,Duration: 10h 46m,$29.68k,59.87k,$495.78
'7495533896390560558,4,live_4_image_content_4.png,WELCOME TO POPMART,@popmart.usshop,"['1730918019362230280', '1729542997783449608', '1730548745653948424']","PUCKY BEANIE BUBBLE UP SERIES-Plush Pendant Blind Box, THE MONSTERS - Have a Seat Vinyl Plush Blind Box, Mystery Box, THE MONSTERS COCA-COLA SERIES-Vinyl Face Blind Box","$15.99 - $95.94, $21.99, $39.99 - $239.94","live_product_4_image_10.png, live_product_4_image_11.png, live_product_4_image_12.png",04/20 19:00 ~ 04/21 03:01,Duration: 8h,$29.65k,182.18k,$162.77
'7495791875966716714,5,live_5_image_content_5.png,$300 OFF Makeup Vanity SALE,@fresought777,"['1729562221692948644', '1729537884756152484', '1729597707943579812']","YITAHOME Vanity Desk Set with Large Lighted Mirror and Power Outlet, 46"" Makeup Vanity with 10 Drawers and Magnifying Glass, Vanity Desk Set with Storage Bench, 3 Lighting Color Adjustable, YITAHOME Makeup Vanity Desk with Large Lighted Mirror with Power Outlet and LED Strip, 3 Color Lighting Modes with Adjustable Brightness, 4 Drawer Vanity Table with Cushioned Stool for Bedroom, YITAHOME Shoe Cabinet with 2/3/4 Flip Drawers, Freestanding Shoe Rack, Shoe Organizer, Narrow Shoe Cabinet for EntryWay Hallway Living Room","$269.99 - $299.99, $164.99 - $209.99, $64.99 - $154.99","live_product_5_image_13.png, live_product_5_image_14.png, live_product_5_image_15.png",04/21 11:42 ~ 22:50,Duration: 11h 8m,$27.69k,169.84k,$163.03
'7495906005524728622,6,live_6_image_content_6.png,ENJOY UNBOXING TIME!,@popmartunboxing.us,"['1729542997783449608', '1730548745653948424', '1729736994697482248']","THE MONSTERS - Have a Seat Vinyl Plush Blind Box, Mystery Box, THE MONSTERS COCA-COLA SERIES-Vinyl Face Blind Box, Unboxing-Hirono×Le Petit Prince Series Figures","$21.99, $39.99 - $239.94, $33.98","live_product_6_image_16.png, live_product_6_image_17.png, live_product_6_image_18.png",04/21 19:04 ~ 23:58,Duration: 4h 53m,$26.67k,169.83k,$157.02
'7495811655176145710,7,live_7_image_content_7.png,Welcome to my live,@mama___tried,"['1731060297312931895', '1729649195107192943', '1730937656723607805']","DRIFT.SLIDE 1500W Peak Power Electric Bike for Adults, 28 MPH 60 Miles Electric Moped Style Bike, 48V 20.8 Ah UL 2849 Removable Battery, 7 Speed 20"" All Terrain Fat Tire Ebike (J1) bicycle  light, AovoPro ES80 Electric Scooter - 8.5-inch Solid Tires, 350W Motor, Up to 21 Miles Range, 19 MPH Speed, Portable Folding Commuter Scooter, Dual Braking System, and App-Controlled Electric Scooter with 10.5Ah High Capacity Battery., Commuting electric bicycle with a maximum power of 1500W, upgraded thick tires and 7-layer full suspension, 48V 20.8Ah detachable large battery, 20 ""x 4.0 suitable for mountainous, snowy, sandy and highway areas, with the highest cost-effectiveness","$679.00, $169.89, $659.00","live_product_7_image_19.png, live_product_7_image_20.png, live_product_7_image_21.png",04/21 12:59 ~ 15:17,Duration: 2h 17m,$26.21k,58.25k,$449.93
'7493671125701069614,8,live_8_image_content_8.png,SPRING GLOW-UP LIVE,@superjerry62,"['1729654449419424166', '1730415399686606857', '1729562343719538908']","Two-piece Set Women's Solid Zip Up Mock Neck Sports Jacket & High Waist Leggings Set, Sporty Breathable Quick Drying Outfits for Yoga Gym Workout Running, Valentine's Day Gift for Girl, Ladies Sportswear for All Seasons, Tracksuit Set, Women's Low Top Lace Up Training Shoes, Casual Comfortable Breathable Lightweight Wear-Resistant Sports Shoes, Non-Slip Sneakers for Gym Workout Running, Women's High Waist Sports Shorts, Breathable Comfortable High Stretch Skinny Shorts, Gym Shorts, Ladies Sportswear for Indoor Outdoor Wear, Workout Clothes","$14.33, $18.87, $9.16 - $48.74","live_product_8_image_22.png, live_product_8_image_23.png, live_product_8_image_24.png",04/15 18:33 ~ 04/21 01:59,Duration: 127h 26m,$24.93k,316.17k,$78.86
'7495905196371905326,9,live_9_image_content_9.png,HAVE FUN TOGETHER ~,@popmart.uslocalshop,"['1730548761579393857', '1729570465770214209', '1729940035404993345']","THE MONSTERS COCA-COLA SERIES-Vinyl Face Blind Box, THE MONSTERS Lazy Yoga Series Figures, Whole Set, CRYBABY Crying Again Series-Vinyl Face Plush Blind Box, Whole Set","$39.99 - $239.94, $169.90, $167.94","live_product_9_image_25.png, live_product_9_image_26.png, live_product_9_image_27.png",04/21 19:01 ~ 23:58,Duration: 4h 56m,$23.46k,359k,$65.34
'7495763024133819178,10,live_10_image_content_10.png,Crazy MEGA SALE LIVE,@feelingirlus,"['1730617684471878595', '1729607382866629571', '1729759134475785155']","FeelinGirl  Strapless Shapewear Tummy  Control Bodysuit Seamless Sculpt Shortie with Removable  Womenswear Fabric Comfortable Basic Nylon Tops, FeelinGirl Women's Shapewear Full-Body Bodysuit with Tummy Control and Butt Lifter Womenswear Underwear, FeelinGirl Womens Shapewear Tank Top Tummy Control Cami Tanks Seamless Camisole Tops Womenswear Spaghetti Strap Underwear Lady Comfort","$25.99, $30.99, $25.99","live_product_10_image_28.png, live_product_10_image_29.png, live_product_10_image_30.png",04/21 09:52 ~ 23:00,Duration: 13h 8m,$23.00k,110.47k,$208.21
